code_experience,vectorisation,Selection,Reduction,classifieur,type,score,tn,fp,fn,tp,fpr,fnr,precision,rappel,specificite,erreur_model,k,n_components,kernel,n_estimators,k_neighbors,t_training,t_test,temps_entrainement,temps_test
tf_mic_nmf_rf,tf,mic,nmf,rf,I,0.766,75,36,10,76,0.324,0.116,0.679,0.884,0.676,46,2500,250,,750,0,1190.329,0.331,0.03438178,0.000925261
tf_mic_nmf_svm,tf,mic,nmf,svm,I,0.772,88,23,22,64,0.207,0.256,0.736,0.744,0.793,45,2000,250,linear,0,0,1421.241,0.269,0.041051504,0.001104753
ngram3_mic_lsa_svm,ngram3,mic,lsa,svm,I,0.772,75,36,9,77,0.324,0.105,0.681,0.895,0.676,45,2000,250,rbf,0,0,221.637,0.11,0.006401822,0.000172282
ngram3_ki2_lsa_lg,ngram3,ki2,lsa,lg,I,0.782,86,25,18,68,0.225,0.209,0.731,0.791,0.775,43,2500,200,,0,0,8.756,0.075,0.000252911,6.80617E-06
ngram3_ki2_nmf_lg,ngram3,ki2,nmf,lg,I,0.782,84,27,16,70,0.243,0.186,0.722,0.814,0.757,43,2000,200,,0,0,525.89,2.157,0.015189947,0.000408782
ngram3_mic_nmf_lg,ngram3,mic,nmf,lg,I,0.787,89,22,20,66,0.198,0.233,0.75,0.767,0.802,42,2500,200,,0,0,651.084,4.497,0.018806084,0.000506098
ngram3_ki2_ipca_lg,ngram3,ki2,ipca,lg,I,0.787,88,23,19,67,0.207,0.221,0.744,0.779,0.793,42,2500,200,,0,0,4.131,0.078,0.000119321,3.21109E-06
ngram3_mic_lsa_lg,ngram3,mic,lsa,lg,I,0.792,93,18,23,63,0.162,0.267,0.778,0.733,0.838,41,2500,250,,0,0,48.926,0.099,0.001413192,3.80309E-05
tf_ki2_nmf_rf,tf,ki2,nmf,rf,I,0.797,101,10,30,56,0.09,0.349,0.848,0.651,0.91,40,2500,250,,1000,0,1129.226,0.365,0.032616865,0.000877765
ngram3_mic_lsa_kn,ngram3,mic,lsa,kn,I,0.797,99,12,28,58,0.108,0.326,0.829,0.674,0.892,40,2500,200,,0,5,151.765,0.135,0.004383621,0.000117969
ngram3_ki2_ipca_kn,ngram3,ki2,ipca,kn,I,0.797,96,15,25,61,0.135,0.291,0.803,0.709,0.865,40,2000,200,,0,3,14.798,0.183,0.000427429,1.15027E-05
ngram3_ki2_lsa_kn,ngram3,ki2,lsa,kn,I,0.802,96,15,24,62,0.135,0.279,0.805,0.721,0.865,39,2000,200,,0,3,15.091,0.146,0.000435892,1.17305E-05
tf_mic_lsa_svm,tf,mic,lsa,svm,I,0.802,95,16,23,63,0.144,0.267,0.797,0.733,0.856,39,2000,250,linear,0,0,266.663,0.04,0.007702365,0.000207281
tfidf_mic_ipca_rf,tfidf,mic,ipca,rf,I,0.802,79,32,7,79,0.288,0.081,0.712,0.919,0.712,39,2000,250,,500,0,290.298,0.113,0.008385045,0.000225653
ngram3_ki2_ipca_svm,ngram3,ki2,ipca,svm,I,0.812,81,30,7,79,0.27,0.081,0.725,0.919,0.73,37,2000,250,rbf,0,0,25.601,0.186,0.000739466,1.99001E-05
tf_ki2_lsa_svm,tf,ki2,lsa,svm,I,0.817,99,12,24,62,0.108,0.279,0.838,0.721,0.892,36,2000,200,linear,0,0,21.025,0.084,0.000607292,1.63431E-05
ngram3_mic_ipca_kn,ngram3,mic,ipca,kn,I,0.817,98,13,23,63,0.117,0.267,0.829,0.733,0.883,36,2000,200,,0,3,151.185,0.159,0.004366868,0.000117518
ngram3_ki2_lsa_svm,ngram3,ki2,lsa,svm,I,0.817,81,30,6,80,0.27,0.07,0.727,0.93,0.73,36,2000,250,rbf,0,0,21.62,0.097,0.000624478,1.68056E-05
tf_mic_ipca_rf,tf,mic,ipca,rf,I,0.827,89,22,12,74,0.198,0.14,0.771,0.86,0.802,34,2000,200,,750,0,288.867,0.165,0.008343711,0.000224541
tf_mic_lsa_rf,tf,mic,lsa,rf,I,0.827,85,26,8,78,0.234,0.093,0.75,0.907,0.766,34,2500,200,,750,0,294.28,0.124,0.008500062,0.000228748
tf_ki2_ipca_svm,tf,ki2,ipca,svm,I,0.832,98,13,20,66,0.117,0.233,0.835,0.767,0.883,33,2000,200,linear,0,0,18.245,0.08,0.000526993,1.41821E-05
tfidf_mic_lsa_lg,tfidf,mic,lsa,lg,I,0.832,87,24,9,77,0.216,0.105,0.762,0.895,0.784,33,2000,200,,0,0,72.17,0.03,0.002084578,5.60989E-05
ngram3_ki2_nmf_rf,ngram3,ki2,nmf,rf,I,0.838,100,11,21,65,0.099,0.244,0.855,0.756,0.901,32,2000,250,,1000,0,1588.502,2.94,0.045882715,0.001234767
tf_mic_ipca_svm,tf,mic,ipca,svm,I,0.838,94,17,15,71,0.153,0.174,0.807,0.826,0.847,32,2000,250,linear,0,0,265.265,0.045,0.007661985,0.000206195
tf_ki2_lsa_rf,tf,ki2,lsa,rf,I,0.838,89,22,10,76,0.198,0.116,0.776,0.884,0.802,32,2000,200,,750,0,117.723,0.156,0.003400343,9.15079E-05
tfidf_mic_ipca_lg,tfidf,mic,ipca,lg,I,0.838,88,23,9,77,0.207,0.105,0.77,0.895,0.793,32,2000,250,,0,0,71.174,0.033,0.002055809,5.53247E-05
tfidf_ki2_ipca_lg,tfidf,ki2,ipca,lg,I,0.838,87,24,8,78,0.216,0.093,0.765,0.907,0.784,32,2000,200,,0,0,1.734,0.035,5.00853E-05,1.34787E-06
tfidf_ki2_ipca_svm,tfidf,ki2,ipca,svm,I,0.843,90,21,10,76,0.189,0.116,0.784,0.884,0.811,31,2500,250,linear,0,0,8.777,0.05,0.000253517,6.8225E-06
ngram3_ki2_ipca_rf,ngram3,ki2,ipca,rf,I,0.843,88,23,8,78,0.207,0.093,0.772,0.907,0.793,31,2000,250,,500,0,63.716,0.117,0.00184039,4.95274E-05
tf_ki2_ipca_lg,tf,ki2,ipca,lg,I,0.848,99,12,18,68,0.108,0.209,0.85,0.791,0.892,30,2000,200,,0,0,4.056,0.065,0.000117155,3.15279E-06
tfidf_mic_lsa_rf,tfidf,mic,lsa,rf,I,0.848,89,22,8,78,0.198,0.093,0.78,0.907,0.802,30,2000,200,,1000,0,290.091,0.155,0.008379066,0.000225492
tf_ki2_ipca_rf,tf,ki2,ipca,rf,I,0.853,95,16,13,73,0.144,0.151,0.82,0.849,0.856,29,2000,200,,750,0,123.984,0.175,0.003581187,9.63747E-05
tfidf_ki2_lsa_lg,tfidf,ki2,lsa,lg,I,0.853,90,21,8,78,0.189,0.093,0.788,0.907,0.811,29,2000,250,,0,0,2.58,0.047,7.45214E-05,2.00547E-06
tfidf_ki2_lsa_rf,tfidf,ki2,lsa,rf,I,0.853,90,21,8,78,0.189,0.093,0.788,0.907,0.811,29,2000,200,,750,0,94.471,0.123,0.002728726,7.34338E-05
tfidf_mic_lsa_svm,tfidf,mic,lsa,svm,I,0.853,90,21,8,78,0.189,0.093,0.788,0.907,0.811,29,2500,200,linear,0,0,269.635,0.045,0.007788209,0.000209591
tfidf_mic_ipca_svm,tfidf,mic,ipca,svm,I,0.853,90,21,8,78,0.189,0.093,0.788,0.907,0.811,29,2500,200,linear,0,0,302.625,0.058,0.008741101,0.000235235
ngram3_ki2_lsa_rf,ngram3,ki2,lsa,rf,I,0.853,88,23,6,80,0.207,0.07,0.777,0.93,0.793,29,2500,200,,1000,0,64.492,0.123,0.001862804,5.01306E-05
ngram3_mic_lsa_rf,ngram3,mic,lsa,rf,I,0.853,86,25,4,82,0.225,0.047,0.766,0.953,0.775,29,2000,200,,750,0,231.688,0.125,0.006692138,0.000180095
tfidf_ki2_nmf_rf,tfidf,ki2,nmf,rf,I,0.858,101,10,18,68,0.09,0.209,0.872,0.791,0.91,28,2000,200,,750,0,661.68,0.233,0.019112142,0.000514334
tfidf_ki2_lsa_svm,tfidf,ki2,lsa,svm,I,0.858,92,19,9,77,0.171,0.105,0.802,0.895,0.829,28,2500,250,linear,0,0,11.948,0.049,0.000345109,9.28737E-06
ngram3_mic_nmf_rf,ngram3,mic,nmf,rf,I,0.863,103,8,19,67,0.072,0.221,0.893,0.779,0.928,27,2500,200,,500,0,1900.591,3.983,0.054897177,0.001477359
tf_mic_lsa_lg,tf,mic,lsa,lg,I,0.868,99,12,14,72,0.108,0.163,0.857,0.837,0.892,26,2000,200,,0,0,72.954,0.031,0.002107223,5.67083E-05
ngram3_mic_ipca_rf,ngram3,mic,ipca,rf,I,0.868,91,20,6,80,0.18,0.07,0.8,0.93,0.82,26,2000,200,,750,0,160.857,0.117,0.004646236,0.000125037
tf_ki2_lsa_lg,tf,ki2,lsa,lg,I,0.873,98,13,12,74,0.117,0.14,0.851,0.86,0.883,25,2500,200,,0,0,4.941,0.058,0.000142717,3.84072E-06
tfidf_mic_nmf_rf,tfidf,mic,nmf,rf,I,0.873,96,15,10,76,0.135,0.116,0.835,0.884,0.865,25,2000,200,,750,0,950.1,0.235,0.027442942,0.000738527
tfidf_ki2_ipca_rf,tfidf,ki2,ipca,rf,I,0.878,99,12,12,74,0.108,0.14,0.86,0.86,0.892,24,2500,200,,500,0,91.984,0.108,0.00265689,7.15006E-05
tf_mic_ipca_lg,tf,mic,ipca,lg,I,0.878,97,14,10,76,0.126,0.116,0.844,0.884,0.874,24,2000,250,,0,0,70.889,0.03,0.002047577,5.51031E-05
,,,,,,,,,,,,,,,,,,,,,,34620.924,37.159,,
